benchmark,agent,model,scaffold
verified,20250629_deepswerl_r2eagent,DeepSWE-Preview,R2E-Gym
verified,20250806_SWE-Exp_DeepSeek-V3,DeepSeek-V3,SWE-Exp
verified,20251110_frogboss-32b,FrogBoss-32B,R2E-Gym
verified,20251110_frogmini-14b,FrogMini-14B,R2E-Gym
verified,20250728_zai_glm4-5,GLM-4.5,OpenHands
verified,20231010_rag_gpt35,GPT-3.5,RAG
verified,20240402_rag_gpt4,GPT-4,RAG
verified,20240402_sweagent_gpt4,GPT-4,SWE-agent
verified,20240628_autocoderover-v20240620,GPT-4,autocoderover-v20240620
verified,20240612_MASAI_gpt4o,GPT-4o,MASAI
verified,20240728_sweagent_gpt4o,GPT-4o,SWE-agent
verified,20241028_agentless-1.5_gpt4o,GPT-4o,agentless-1.5
verified,20240615_appmap-navie_gpt4o,GPT-4o,appmap-navie
verified,20240820_epam-ai-run-gpt-4o,GPT-4o,epam-ai-run
verified,20241016_epam-ai-run-gpt-4o,GPT-4o,epam-ai-run
verified,20250120_Bracket,GPT-4o-mini,Bracket
verified,20250807_openhands_gpt5,GPT-5,OpenHands
verified,20250929_Prometheus_v1.2_gpt5,GPT-5,Prometheus_v1.2
verified,20251015_Prometheus_v1.2.1_gpt5,GPT-5,Prometheus_v1.2.1
verified,20251014_Lingxi_kimi_k2,Kimi K2,Lingxi v1.5
verified,20250716_openhands_kimi_k2,Kimi K2,OpenHands
verified,20250627_agentless_MCTS-Refine-7B,MCTS-Refine-7B,agentless
verified,20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,Qwen2.5-72b-editor,SWE-Fixer_Qwen2.5-7b-retriever
verified,20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,Qwen2.5-72b-editor,SWE-Fixer_Qwen2.5-7b-retriever
verified,20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,Qwen3-Coder-30B-A3B-Instruct,OpenHands
verified,20250901_entroPO_R2E_QwenCoder30BA3B,Qwen3-Coder-30B-A3B-Instruct,entroPO_R2E
verified,20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,Qwen3-Coder-480B-A35B-Instruct,OpenHands
verified,20250901_entroPO_R2E_QwenCoder30BA3B_tts,QwenCoder30BA3B_tts,entroPO_R2E
verified,20250511_sweagent_lm_32b,SWE-agent-LM-32B,SWE-agent 1.0
verified,20250616_Skywork-SWE-32B,Skywork-SWE-32B,OpenHands
verified,20241022_tools_claude-3-5-haiku,claude-3-5-haiku,Tools
verified,20241221_codestory_midwit_claude-3-5-sonnet_swe-search,claude-3-5-sonnet_swe-search,codestory_midwit
verified,20250522_tools_claude-4-opus,claude-4-opus,Tools
verified,20251103_sonar-foundation-agent_claude-sonnet-4-5,claude-sonnet-4-5,sonar-foundation-agent
verified,20250520_openhands_devstral_small,devstral_small,OpenHands
verified,20250725_sweagent_devstral_small_2507,devstral_small_2507,SWE-agent 1.0
verified,20251120_livesweagent_gemini-3-pro-preview,gemini-3-pro-preview,livesweagent
verified,20250118_codeshellagent_gemini_2.0_flash_experimental,gemini_2.0_flash_experimental,codeshellagent
verified,20241212_google_jules_gemini_2.0_flash_experimental,gemini_2.0_flash_experimental,google_jules
verified,20250930_zai_glm4-6,glm4-6,zai
verified,20250804_codesweep_sweagent_kimi_k2_instruct,kimi_k2_instruct,SWE-agent 1.0
verified,20240918_lingma-agent_lingma-swe-gpt-72b,lingma-swe-gpt-72b,lingma-agent
verified,20241002_lingma-agent_lingma-swe-gpt-72b,lingma-swe-gpt-72b,lingma-agent
verified,20240918_lingma-agent_lingma-swe-gpt-7b,lingma-swe-gpt-7b,lingma-agent
verified,20241002_lingma-agent_lingma-swe-gpt-7b,lingma-swe-gpt-7b,lingma-agent
verified,20250226_swerl_llama3_70b,llama3_70b,swerl
verified,20250117_wandb_programmer_o1_crosscheck5,o1_crosscheck5,wandb_programmer
verified,20250214_agentless_lite_o3_mini,o3_mini,agentless_lite
verified,20250503_patchpilot-v1.1-o4-mini,o4-mini,patchpilot-v1.1
verified,20231010_rag_swellama13b,swellama13b,RAG
verified,20231010_rag_swellama7b,swellama7b,RAG
